empire,10
catching,10
unlisted,9
bonuses,9
travel,9
simplify,9
conceptual,9
active,9
levied,9
intermediation,9
desire,9
proved,9
implications,9
commonly,9
afford,9
maintaining,9
ricardian,9
west,9
supplementary,9
dimensions,9
parties,9
politically,9
al,9
causes,9
attitude,9
invented,9
error,9
sight,9
deserves,9
royalties,9
postel,9
indian,9
gilles,9
resulting,9
baby,9
solidarity,9
goldin,9
residential,9
saved,9
pragmatic,9
consisting,9
notions,9
cited,9
satisfied,9
opportunity,9
forced,9
speak,9
aristocratic,9
scarcity,9
bowley,9
accelerated,9
norway,9
1956,9
denmark,9
suffice,9
caught,9
media,9
arabia,9
1935,9
1939,9
intervention,9
hospitals,9
ma,9
anticipation,9
factories,9
base,9
reflected,9
1912,9
galit,9
salary,9
database,9
excluding,9
civilization,9
collapsed,9
arithmetic,9
1791,9
commercial,9
vinay,9
started,9
located,9
s1,9
furet,9
laurent,9
expenditure,9
harder,9
tenfold,9
asian,9
saves,9
stagnated,9
savers,9
differently,9
methodological,9
enabled,9
simplest,9
distinction,9
prosperous,9
livre,9
800,9
identify,9
failure,9
felt,9
sake,9
distinctly,9
deliberation,9
zucman,9
endowed,9
seeking,9
reinforced,9
180,9
doubled,9
nordic,9
obliged,9
restoration,9
2003,9
2006,9
proof,9
holds,9
institutional,9
acceleration,9
proposal,9
reporting,9
regain,9
certainty,9
ultimate,9
interpretation,9
writing,9
urban,9
improve,9
teachers,9
52,9
interdecile,9
younger,9
1944,9
noticeably,9
offers,9
individually,9
gaps,9
prosperity,9
reveal,9
contract,9
insist,9
63,9
coupled,9
events,9
instruments,9
synthetic,9
worse,9
1848,9
minor,9
domination,9
maddison,9
indebted,9
argentina,9
compiled,9
sold,9
moving,9
vice,9
unequally,9
investor,9
chaos,9
reversed,9
wall,9
abandoned,9
pasta,9
stern,8
98,8
gauge,8
giffen,8
asked,8
250,8
samuelson,8
academic,8
unique,8
brought,8
integration,8
findings,8
harmonious,8
stress,8
internet,8
seventy,8
marikana,8
intuition,8
spanish,8
vote,8
enjoys,8
deduction,8
victorine,8
standpoint,8
adam,8
original,8
scientists,8
luck,8
neglected,8
destabilizing,8
internal,8
instituted,8
recipient,8
formal,8
repaid,8
fifteen,8
volatility,8
homogeneous,8
